User_Location,Artisan_Location,Skill_Type,Availability,Scheduling_Preference,Artisan_Name
Ebonyi,Ebonyi,Carpenter,Not Available,On-Demand,Obinna Ibe
Katsina,Katsina,Electrician,Not Available,On-Demand,Olufemi Ogunleye
Abia,Abia,Tiler,Not Available,On-Demand,Abubakar Hassan
Sokoto,Sokoto,Gardener,Not Available,Advance,Umar Muhammad
Imo,Imo,Caterer,Not Available,On-Demand,Umar Ali
Taraba,Taraba,Plumber,Not Available,Advance,Olumide Ogunleye
Abia,Abia,Dressmaker,Available,On-Demand,Umar Muhammad
Rivers,Rivers,Shoe Cobbler,Not Available,Advance,Aisha Sani
Oyo,Oyo,Barber,Available,Advance,Uchechi Onyeka
Adamawa,Adamawa,Plumber,Not Available,Advance,Sadiya Yusuf
Ogun,Ogun,Painter,Not Available,On-Demand,Obinna Okafor
Taraba,Taraba,Gardener,Available,Advance,Adetokunbo Adebiyi
Cross River,Cross River,Welder,Available,Advance,Olufemi Olawale
Enugu,Enugu,Event Planner,Available,Advance,Chukwudi Onyeka
Delta,Delta,Event Planner,Not Available,On-Demand,Babatunde Adeyemi
Kaduna,Kaduna,Graphic Designer,Available,Advance,Sadiya Abubakar
Nasarawa,Nasarawa,Shoe Cobbler,Available,On-Demand,Chizoba Eze
Kaduna,Kaduna,Gardener,Not Available,Advance,Olufemi Adegbola
Katsina,Katsina,Tiler,Not Available,On-Demand,Uchechi Okafor
Ebonyi,Ebonyi,Shoe Cobbler,Not Available,Advance,Fatima Sani
Ekiti,Ekiti,Hairdresser,Not Available,Advance,Oluwatoyin Adegbola
Ebonyi,Ebonyi,Painter,Available,On-Demand,Aisha Ali
Cross River,Cross River,Hairdresser,Available,Advance,Aliyu Sani
Osun,Osun,Dressmaker,Available,Advance,Umar Abubakar
Delta,Delta,Tiler,Available,Advance,Fatima Ibrahim
Edo,Edo,Welder,Not Available,On-Demand,Oluwaseun Adeyemi
Plateau,Plateau,Dressmaker,Available,Advance,Hauwa Abubakar
Abia,Abia,Tailor,Available,Advance,Obinna Onyeka
Osun,Osun,Caterer,Available,On-Demand,Aisha Ali
Abia,Abia,Welder,Available,On-Demand,Olumide Ojo
Bayelsa,Bayelsa,Mechanic,Not Available,On-Demand,Abubakar Abubakar
Benue,Benue,Welder,Not Available,Advance,Uchechi Ibe
Jigawa,Jigawa,Plumber,Available,On-Demand,Aliyu Ibrahim
Adamawa,Adamawa,Carpenter,Not Available,On-Demand,Hauwa Abubakar
Delta,Delta,Hairdresser,Not Available,Advance,Aisha Ali
Katsina,Katsina,Event Planner,Available,Advance,Fatima Ibrahim
Bayelsa,Bayelsa,Interior Decorator,Available,On-Demand,Uchechi Okafor
Delta,Delta,Electrician,Not Available,On-Demand,Umar Yusuf
Plateau,Plateau,Makeup Artist,Available,Advance,Chizoba Onyeka
Imo,Imo,Plumber,Not Available,Advance,Chizoba Okafor
Niger,Niger,Tiler,Not Available,Advance,Oluwakemi Ajayi
Edo,Edo,Event Planner,Available,Advance,Oluwatoyin Adebiyi
Zamfara,Zamfara,Hairdresser,Not Available,Advance,Chinonso Okoye
Yobe,Yobe,Tiler,Available,On-Demand,Obinna Okoye
Imo,Imo,Caterer,Not Available,Advance,Olufemi Ojo
Yobe,Yobe,Painter,Available,Advance,Abubakar Yusuf
Nasarawa,Nasarawa,Tiler,Available,Advance,Ifeoma Okafor
Ebonyi,Ebonyi,Hairdresser,Available,Advance,Fatima Sani
Imo,Imo,Interior Decorator,Available,Advance,Aliyu Hassan
Ogun,Ogun,Tiler,Available,Advance,Oluwatobi Adebiyi
Jigawa,Jigawa,Furniture Maker,Not Available,Advance,Olufemi Ogunlana
Niger,Niger,Gardener,Not Available,On-Demand,Oluwatoyin Ojo
Plateau,Plateau,Barber,Available,Advance,Uchechi Okeke
Benue,Benue,Graphic Designer,Available,On-Demand,Oluwatoyin Ajayi
Anambra,Anambra,Photographer,Not Available,Advance,Uchechi Eze
Imo,Imo,Hairdresser,Not Available,On-Demand,Obinna Okafor
Bayelsa,Bayelsa,Electrician,Not Available,Advance,Uchechi Okeke
Benue,Benue,Tailor,Available,On-Demand,Chukwudi Onyeka
Gombe,Gombe,Barber,Available,Advance,Ifeoma Okafor
Jigawa,Jigawa,Caterer,Not Available,On-Demand,Chidinma Eze
Sokoto,Sokoto,Hairdresser,Available,Advance,Aliyu Ibrahim
Bayelsa,Bayelsa,Dressmaker,Available,Advance,Adetokunbo Adebiyi
Nasarawa,Nasarawa,Tiler,Not Available,Advance,Adetokunbo Adeyemi
Abia,Abia,Painter,Available,Advance,Chukwudi Eze
Bauchi,Bauchi,Barber,Available,On-Demand,Babatunde Ogunlana
Zamfara,Zamfara,Electrician,Available,On-Demand,Oluwaseun Adeyemi
Adamawa,Adamawa,Electrician,Not Available,On-Demand,Aliyu Muhammad
Ondo,Ondo,Painter,Not Available,Advance,Oluwatoyin Olawale
Ekiti,Ekiti,Welder,Available,Advance,Aliyu Ali
Borno,Borno,Electrician,Not Available,On-Demand,Chizoba Ibe
Katsina,Katsina,Painter,Not Available,On-Demand,Umar Ali
Ekiti,Ekiti,Electrician,Not Available,Advance,Chinonso Okafor
Rivers,Rivers,Photographer,Not Available,On-Demand,Hauwa Ali
Yobe,Yobe,Electrician,Available,Advance,Sadiya Ali
Kebbi,Kebbi,Carpenter,Not Available,On-Demand,Obinna Okafor
Ekiti,Ekiti,Shoe Cobbler,Not Available,On-Demand,Chizoba Okoye
Kaduna,Kaduna,Barber,Available,Advance,Uchechi Okafor
Benue,Benue,Barber,Not Available,On-Demand,Olumide Adebiyi
Ogun,Ogun,Dressmaker,Not Available,Advance,Chinonso Ibe
Rivers,Rivers,Hairdresser,Available,Advance,Oluwakemi Ajayi
Jigawa,Jigawa,Photographer,Available,Advance,Umar Muhammad
Borno,Borno,Hairdresser,Available,Advance,Oluwaseun Adebiyi
Niger,Niger,Graphic Designer,Available,Advance,Chinonso Ibe
Kogi,Kogi,Barber,Not Available,On-Demand,Oluwatobi Ogunlana
Osun,Osun,Dressmaker,Available,On-Demand,Chukwudi Onyeka
Benue,Benue,Painter,Not Available,Advance,Oluwatoyin Ogunleye
Bauchi,Bauchi,Graphic Designer,Not Available,On-Demand,Yusuf Ibrahim
Enugu,Enugu,Gardener,Available,Advance,Chidinma Okeke
Benue,Benue,Interior Decorator,Not Available,On-Demand,Obinna Ibe
Edo,Edo,Event Planner,Available,On-Demand,Olufemi Olawale
Anambra,Anambra,Mechanic,Not Available,Advance,Chizoba Okeke
Yobe,Yobe,Furniture Maker,Not Available,Advance,Fatima Ibrahim
Yobe,Yobe,Mechanic,Available,On-Demand,Obinna Eze
Kebbi,Kebbi,Event Planner,Not Available,On-Demand,Sadiya Hassan
Kwara,Kwara,Dressmaker,Available,On-Demand,Olufemi Ogunlana
Kebbi,Kebbi,Electrician,Not Available,Advance,Sadiya Hassan
Kebbi,Kebbi,Event Planner,Available,Advance,Olumide Ojo
Sokoto,Sokoto,Photographer,Not Available,Advance,Oluwakemi Ogunleye
Abia,Abia,Barber,Not Available,On-Demand,Oluwakemi Adegbola
Kaduna,Kaduna,Graphic Designer,Available,On-Demand,Chukwudi Okoye
Jigawa,Jigawa,Barber,Not Available,On-Demand,Umar Muhammad
Abia,Abia,Painter,Not Available,On-Demand,Uchechi Okafor
Cross River,Cross River,Dressmaker,Not Available,Advance,Hauwa Muhammad
Benue,Benue,Interior Decorator,Not Available,On-Demand,Uchechi Ibe
Katsina,Katsina,Gardener,Available,On-Demand,Olumide Ajayi
Benue,Benue,Barber,Available,On-Demand,Abubakar Umar
Cross River,Cross River,Dressmaker,Not Available,On-Demand,Oluwakemi Adebiyi
Taraba,Taraba,Photographer,Not Available,Advance,Olumide Adebiyi
Niger,Niger,Dressmaker,Available,Advance,Uchechi Okafor
Ekiti,Ekiti,Tiler,Not Available,On-Demand,Babatunde Adeyemi
Jigawa,Jigawa,Caterer,Available,On-Demand,Adetokunbo Ojo
Adamawa,Adamawa,Interior Decorator,Available,On-Demand,Olufemi Adegbola
Kogi,Kogi,Painter,Available,Advance,Aisha Hassan
Delta,Delta,Makeup Artist,Available,Advance,Hauwa Ibrahim
Akwa Ibom,Akwa Ibom,Shoe Cobbler,Not Available,Advance,Olumide Ojo
Ogun,Ogun,Hairdresser,Available,On-Demand,Yusuf Ibrahim
Akwa Ibom,Akwa Ibom,Hairdresser,Available,On-Demand,Uchechi Okoye
Bauchi,Bauchi,Welder,Not Available,On-Demand,Adetokunbo Ajayi
Oyo,Oyo,Barber,Not Available,On-Demand,Oluwakemi Adegbola
Taraba,Taraba,Plumber,Available,Advance,Umar Ibrahim
Kogi,Kogi,Furniture Maker,Available,On-Demand,Abubakar Abubakar
Edo,Edo,Caterer,Available,On-Demand,Hauwa Muhammad
Zamfara,Zamfara,Shoe Cobbler,Available,On-Demand,Fatima Yusuf
Delta,Delta,Painter,Available,On-Demand,Nneka Eze
Enugu,Enugu,Painter,Not Available,On-Demand,Chinonso Okafor
Kano,Kano,Electrician,Not Available,On-Demand,Fatima Ali
Bayelsa,Bayelsa,Event Planner,Not Available,On-Demand,Olufemi Ogunlana
Cross River,Cross River,Furniture Maker,Not Available,Advance,Babatunde Ogunlana
Plateau,Plateau,Gardener,Available,Advance,Hauwa Umar
Nasarawa,Nasarawa,Mechanic,Available,Advance,Sadiya Umar
Edo,Edo,Carpenter,Not Available,On-Demand,Babatunde Adegbola
Ogun,Ogun,Furniture Maker,Not Available,Advance,Yusuf Umar
Benue,Benue,Event Planner,Not Available,Advance,Sadiya Ali
Plateau,Plateau,Electrician,Not Available,On-Demand,Yusuf Abubakar
Borno,Borno,Tiler,Not Available,Advance,Babatunde Ogunlana
Plateau,Plateau,Welder,Not Available,On-Demand,Oluwatobi Adebiyi
Kano,Kano,Tiler,Not Available,Advance,Ifeoma Okoye
Kwara,Kwara,Barber,Available,Advance,Oluwatoyin Ojo
Lagos,Lagos,Photographer,Available,On-Demand,Oluwakemi Ogunlana
Adamawa,Adamawa,Painter,Available,Advance,Oluwatoyin Ogunlana
Abia,Abia,Electrician,Available,Advance,Oluwakemi Ogunleye
Benue,Benue,Dressmaker,Available,Advance,Abubakar Abubakar
Akwa Ibom,Akwa Ibom,Hairdresser,Not Available,On-Demand,Oluwaseun Ogunleye
Kano,Kano,Painter,Not Available,On-Demand,Babatunde Ogunleye
Kogi,Kogi,Event Planner,Not Available,On-Demand,Oluwakemi Adegbola
Abia,Abia,Caterer,Not Available,On-Demand,Oluwaseun Adebiyi
Niger,Niger,Mechanic,Available,Advance,Yusuf Muhammad
Rivers,Rivers,Barber,Not Available,Advance,Chidinma Okafor
Edo,Edo,Painter,Not Available,On-Demand,Uchechi Eze
Sokoto,Sokoto,Gardener,Not Available,Advance,Chukwudi Nwankwo
Yobe,Yobe,Tiler,Available,Advance,Chukwudi Okoye
Akwa Ibom,Akwa Ibom,Painter,Available,Advance,Ifeoma Okafor
Borno,Borno,Barber,Available,Advance,Oluwaseun Ogunlana
Enugu,Enugu,Shoe Cobbler,Available,On-Demand,Abubakar Abubakar
Yobe,Yobe,Plumber,Available,On-Demand,Chidinma Okeke
Edo,Edo,Interior Decorator,Not Available,On-Demand,Chinonso Okoye
Akwa Ibom,Akwa Ibom,Tailor,Not Available,On-Demand,Chidinma Nwankwo
Kano,Kano,Photographer,Available,Advance,Sadiya Umar
Ogun,Ogun,Tailor,Not Available,On-Demand,Oluwaseun Ajayi
Sokoto,Sokoto,Interior Decorator,Not Available,Advance,Olufemi Ogunlana
Edo,Edo,Electrician,Available,On-Demand,Oluwakemi Ojo
Kano,Kano,Mechanic,Not Available,On-Demand,Obinna Okafor
Ebonyi,Ebonyi,Barber,Available,Advance,Chizoba Okafor
Bauchi,Bauchi,Interior Decorator,Available,On-Demand,Chizoba Okeke
Kebbi,Kebbi,Makeup Artist,Available,On-Demand,Olufemi Olawale
Oyo,Oyo,Shoe Cobbler,Not Available,On-Demand,Chidinma Ibe
Ogun,Ogun,Carpenter,Available,On-Demand,Abubakar Muhammad
Nasarawa,Nasarawa,Plumber,Available,On-Demand,Olumide Olawale
Ondo,Ondo,Dressmaker,Not Available,Advance,Olumide Ojo
Ekiti,Ekiti,Makeup Artist,Available,On-Demand,Aliyu Sani
Jigawa,Jigawa,Hairdresser,Not Available,Advance,Abubakar Abubakar
Imo,Imo,Hairdresser,Available,On-Demand,Sadiya Ibrahim
Zamfara,Zamfara,Caterer,Not Available,Advance,Chizoba Ibe
Kebbi,Kebbi,Tiler,Not Available,On-Demand,Sadiya Abubakar
Ogun,Ogun,Interior Decorator,Available,Advance,Adetokunbo Olawale
Abia,Abia,Caterer,Available,On-Demand,Aisha Ali
Bauchi,Bauchi,Mechanic,Available,On-Demand,Aisha Umar
Zamfara,Zamfara,Hairdresser,Not Available,On-Demand,Umar Sani
Ogun,Ogun,Furniture Maker,Available,On-Demand,Ifeoma Ibe
Osun,Osun,Barber,Available,Advance,Sadiya Muhammad
Ogun,Ogun,Painter,Available,Advance,Oluwatoyin Adebiyi
Jigawa,Jigawa,Barber,Not Available,On-Demand,Oluwatoyin Ojo
Akwa Ibom,Akwa Ibom,Painter,Available,On-Demand,Oluwakemi Ojo
Kano,Kano,Painter,Not Available,On-Demand,Uchechi Nwankwo
Kwara,Kwara,Plumber,Available,Advance,Fatima Ibrahim
Oyo,Oyo,Interior Decorator,Not Available,On-Demand,Aisha Ibrahim
Imo,Imo,Tailor,Not Available,On-Demand,Chinonso Okafor
Kebbi,Kebbi,Electrician,Not Available,On-Demand,Umar Ibrahim
Benue,Benue,Tailor,Available,On-Demand,Aliyu Hassan
Ondo,Ondo,Mechanic,Not Available,Advance,Chinonso Ibe
Oyo,Oyo,Mechanic,Available,Advance,Fatima Abubakar
Akwa Ibom,Akwa Ibom,Graphic Designer,Not Available,Advance,Chizoba Okafor
Kogi,Kogi,Barber,Not Available,Advance,Abubakar Hassan
Ebonyi,Ebonyi,Carpenter,Not Available,Advance,Adetokunbo Adebiyi
Bayelsa,Bayelsa,Tiler,Available,On-Demand,Oluwatoyin Ogunleye
Zamfara,Zamfara,Interior Decorator,Not Available,On-Demand,Aliyu Sani
Plateau,Plateau,Dressmaker,Not Available,Advance,Aisha Yusuf
Enugu,Enugu,Event Planner,Available,Advance,Aliyu Ibrahim
Abia,Abia,Hairdresser,Not Available,Advance,Uchechi Eze
Zamfara,Zamfara,Tiler,Available,On-Demand,Chinonso Okeke
Ogun,Ogun,Tailor,Available,Advance,Olumide Adebiyi
Katsina,Katsina,Event Planner,Available,Advance,Uchechi Ibe
Rivers,Rivers,Caterer,Available,Advance,Aisha Ali
Gombe,Gombe,Welder,Not Available,Advance,Hauwa Abubakar
Niger,Niger,Electrician,Available,Advance,Aliyu Abubakar
Adamawa,Adamawa,Event Planner,Not Available,Advance,Oluwatobi Adebiyi
Gombe,Gombe,Welder,Available,On-Demand,Obinna Okoye
Abia,Abia,Event Planner,Not Available,Advance,Hauwa Ibrahim
Akwa Ibom,Akwa Ibom,Barber,Not Available,On-Demand,Olumide Ajayi
Yobe,Yobe,Event Planner,Not Available,Advance,Nneka Ibe
Ekiti,Ekiti,Furniture Maker,Available,On-Demand,Olufemi Olawale
Ekiti,Ekiti,Makeup Artist,Not Available,Advance,Adetokunbo Ojo
Kwara,Kwara,Furniture Maker,Available,Advance,Olufemi Olawale
Imo,Imo,Furniture Maker,Not Available,Advance,Oluwatoyin Adegbola
Taraba,Taraba,Welder,Not Available,Advance,Abubakar Yusuf
Ondo,Ondo,Welder,Available,On-Demand,Nneka Okafor
Kaduna,Kaduna,Makeup Artist,Available,Advance,Chukwudi Okoye
Bauchi,Bauchi,Gardener,Not Available,On-Demand,Olumide Ajayi
Zamfara,Zamfara,Welder,Not Available,On-Demand,Chinonso Nwankwo
Ebonyi,Ebonyi,Makeup Artist,Not Available,Advance,Chidinma Eze
Benue,Benue,Plumber,Available,Advance,Ifeoma Ibe
Kaduna,Kaduna,Photographer,Available,On-Demand,Aliyu Abubakar
Bayelsa,Bayelsa,Mechanic,Available,On-Demand,Obinna Eze
Sokoto,Sokoto,Shoe Cobbler,Not Available,On-Demand,Uchechi Okafor
Kwara,Kwara,Electrician,Not Available,Advance,Nneka Okeke
Osun,Osun,Dressmaker,Not Available,Advance,Nneka Okafor
Rivers,Rivers,Dressmaker,Not Available,On-Demand,Chukwudi Onyeka
Kebbi,Kebbi,Electrician,Not Available,Advance,Adetokunbo Adebiyi
Enugu,Enugu,Interior Decorator,Not Available,On-Demand,Oluwatoyin Ogunleye
Kano,Kano,Photographer,Available,Advance,Nneka Okafor
Taraba,Taraba,Gardener,Available,Advance,Chidinma Okafor
Osun,Osun,Makeup Artist,Available,Advance,Aisha Abubakar
Ekiti,Ekiti,Plumber,Available,Advance,Chinonso Nwankwo
Ogun,Ogun,Hairdresser,Not Available,On-Demand,Ifeoma Okeke
Oyo,Oyo,Plumber,Available,On-Demand,Aliyu Hassan
Zamfara,Zamfara,Electrician,Not Available,Advance,Umar Muhammad
Enugu,Enugu,Shoe Cobbler,Not Available,On-Demand,Ifeoma Okeke
Bayelsa,Bayelsa,Makeup Artist,Not Available,Advance,Babatunde Ogunleye
Lagos,Lagos,Interior Decorator,Available,Advance,Babatunde Olawale
Akwa Ibom,Akwa Ibom,Shoe Cobbler,Not Available,Advance,Hauwa Muhammad
Cross River,Cross River,Caterer,Available,Advance,Umar Sani
Niger,Niger,Graphic Designer,Not Available,Advance,Olufemi Ogunlana
Osun,Osun,Carpenter,Not Available,Advance,Chinonso Okeke
Taraba,Taraba,Electrician,Available,On-Demand,Chinonso Okoye
Taraba,Taraba,Painter,Available,On-Demand,Hauwa Sani
Lagos,Lagos,Welder,Available,On-Demand,Abubakar Yusuf
Anambra,Anambra,Tailor,Not Available,On-Demand,Olufemi Ogunleye
Nasarawa,Nasarawa,Graphic Designer,Not Available,On-Demand,Aliyu Sani
Taraba,Taraba,Photographer,Available,Advance,Chidinma Okoye
Bauchi,Bauchi,Tailor,Not Available,On-Demand,Olufemi Adebiyi
Ekiti,Ekiti,Shoe Cobbler,Not Available,On-Demand,Yusuf Hassan
Abia,Abia,Hairdresser,Available,Advance,Abubakar Ibrahim
Ogun,Ogun,Carpenter,Not Available,On-Demand,Chukwudi Ibe
Kano,Kano,Caterer,Available,On-Demand,Babatunde Adegbola
Zamfara,Zamfara,Gardener,Not Available,Advance,Babatunde Adeyemi
Kogi,Kogi,Furniture Maker,Available,On-Demand,Olufemi Adegbola
Rivers,Rivers,Interior Decorator,Available,Advance,Ifeoma Nwankwo
Kogi,Kogi,Carpenter,Not Available,On-Demand,Ifeoma Okoye
Gombe,Gombe,Event Planner,Available,On-Demand,Uchechi Okafor
Niger,Niger,Barber,Not Available,Advance,Yusuf Ali
Rivers,Rivers,Gardener,Not Available,Advance,Chukwudi Eze
Taraba,Taraba,Mechanic,Not Available,On-Demand,Uchechi Ibe
Nasarawa,Nasarawa,Electrician,Available,Advance,Fatima Muhammad
Abia,Abia,Interior Decorator,Not Available,On-Demand,Babatunde Adegbola
Lagos,Lagos,Welder,Available,On-Demand,Chidinma Okeke
Osun,Osun,Electrician,Available,On-Demand,Umar Yusuf
Imo,Imo,Shoe Cobbler,Not Available,On-Demand,Yusuf Muhammad
Oyo,Oyo,Photographer,Available,On-Demand,Adetokunbo Ogunlana
Edo,Edo,Graphic Designer,Available,On-Demand,Fatima Hassan
Plateau,Plateau,Carpenter,Not Available,On-Demand,Fatima Sani
Edo,Edo,Barber,Not Available,On-Demand,Hauwa Umar
Katsina,Katsina,Electrician,Available,On-Demand,Aisha Ibrahim
Katsina,Katsina,Plumber,Available,Advance,Sadiya Sani
Adamawa,Adamawa,Event Planner,Not Available,On-Demand,Obinna Ibe
Osun,Osun,Hairdresser,Not Available,Advance,Umar Yusuf
Kaduna,Kaduna,Caterer,Available,On-Demand,Yusuf Umar
Katsina,Katsina,Welder,Not Available,On-Demand,Olufemi Ojo
Abia,Abia,Photographer,Not Available,On-Demand,Oluwatobi Adebiyi
Oyo,Oyo,Furniture Maker,Not Available,Advance,Abubakar Yusuf
Kano,Kano,Electrician,Available,Advance,Olumide Ogunlana
Gombe,Gombe,Makeup Artist,Not Available,On-Demand,Umar Abubakar
Niger,Niger,Interior Decorator,Not Available,Advance,Oluwaseun Adebiyi
Lagos,Lagos,Barber,Not Available,Advance,Nneka Ibe
Kano,Kano,Hairdresser,Available,Advance,Adetokunbo Adegbola
Bayelsa,Bayelsa,Welder,Not Available,Advance,Chinonso Ibe
Oyo,Oyo,Makeup Artist,Available,On-Demand,Chinonso Nwankwo
Ebonyi,Ebonyi,Carpenter,Available,Advance,Oluwakemi Adeyemi
Ondo,Ondo,Tiler,Not Available,Advance,Yusuf Muhammad
Rivers,Rivers,Barber,Available,Advance,Olumide Ogunlana
Edo,Edo,Carpenter,Available,On-Demand,Adetokunbo Adebiyi
Abia,Abia,Electrician,Available,Advance,Aliyu Muhammad
Ondo,Ondo,Furniture Maker,Available,On-Demand,Aliyu Hassan
Osun,Osun,Shoe Cobbler,Not Available,On-Demand,Umar Umar
Gombe,Gombe,Welder,Not Available,On-Demand,Nneka Okafor
Taraba,Taraba,Shoe Cobbler,Available,On-Demand,Nneka Nwankwo
Imo,Imo,Welder,Not Available,On-Demand,Sadiya Hassan
Lagos,Lagos,Graphic Designer,Not Available,Advance,Olumide Olawale
Bayelsa,Bayelsa,Plumber,Available,On-Demand,Abubakar Abubakar
Ebonyi,Ebonyi,Carpenter,Not Available,Advance,Oluwatoyin Adeyemi
Enugu,Enugu,Event Planner,Not Available,Advance,Olumide Ajayi
Plateau,Plateau,Event Planner,Not Available,On-Demand,Olufemi Ogunleye
Kano,Kano,Hairdresser,Available,Advance,Chukwudi Nwankwo
Yobe,Yobe,Hairdresser,Not Available,On-Demand,Yusuf Hassan
Benue,Benue,Barber,Available,Advance,Chinonso Eze
Oyo,Oyo,Gardener,Available,On-Demand,Chidinma Eze
Jigawa,Jigawa,Graphic Designer,Available,Advance,Chizoba Eze
Borno,Borno,Photographer,Not Available,Advance,Ifeoma Ibe
Akwa Ibom,Akwa Ibom,Gardener,Not Available,On-Demand,Chizoba Okeke
Kogi,Kogi,Barber,Not Available,Advance,Oluwakemi Adebiyi
Delta,Delta,Tailor,Available,On-Demand,Aliyu Yusuf
Kogi,Kogi,Graphic Designer,Available,Advance,Chukwudi Okafor
Anambra,Anambra,Gardener,Not Available,On-Demand,Oluwakemi Adeyemi
Edo,Edo,Furniture Maker,Not Available,On-Demand,Abubakar Hassan
Kebbi,Kebbi,Graphic Designer,Available,Advance,Obinna Nwankwo
Ondo,Ondo,Event Planner,Not Available,Advance,Ifeoma Okoye
Gombe,Gombe,Photographer,Available,On-Demand,Oluwatobi Adeyemi
Katsina,Katsina,Caterer,Available,Advance,Oluwatobi Olawale
Sokoto,Sokoto,Hairdresser,Available,Advance,Hauwa Yusuf
Imo,Imo,Makeup Artist,Available,On-Demand,Aisha Muhammad
Bayelsa,Bayelsa,Gardener,Not Available,Advance,Chukwudi Eze
Osun,Osun,Graphic Designer,Not Available,On-Demand,Babatunde Adeyemi
Edo,Edo,Carpenter,Not Available,Advance,Hauwa Ali
Kaduna,Kaduna,Photographer,Not Available,On-Demand,Olumide Ojo
Benue,Benue,Interior Decorator,Available,Advance,Umar Ali
Nasarawa,Nasarawa,Caterer,Available,On-Demand,Umar Sani
Adamawa,Adamawa,Shoe Cobbler,Available,On-Demand,Sadiya Ali
Kebbi,Kebbi,Caterer,Not Available,On-Demand,Chinonso Nwankwo
Oyo,Oyo,Event Planner,Not Available,Advance,Ifeoma Okafor
Bayelsa,Bayelsa,Barber,Available,Advance,Nneka Okafor
Ekiti,Ekiti,Gardener,Not Available,Advance,Oluwakemi Adebiyi
Kogi,Kogi,Furniture Maker,Not Available,On-Demand,Obinna Nwankwo
Rivers,Rivers,Event Planner,Available,On-Demand,Aliyu Hassan
Benue,Benue,Shoe Cobbler,Not Available,Advance,Olufemi Adebiyi
Benue,Benue,Photographer,Not Available,On-Demand,Oluwatobi Olawale
Benue,Benue,Makeup Artist,Available,On-Demand,Chukwudi Okafor
Borno,Borno,Mechanic,Not Available,Advance,Aisha Hassan
Oyo,Oyo,Gardener,Available,Advance,Aisha Yusuf
Imo,Imo,Mechanic,Not Available,On-Demand,Chinonso Eze
Jigawa,Jigawa,Electrician,Not Available,On-Demand,Olumide Ajayi
Kogi,Kogi,Barber,Available,Advance,Oluwatoyin Ogunlana
Yobe,Yobe,Caterer,Available,On-Demand,Hauwa Ali
Edo,Edo,Dressmaker,Available,On-Demand,Fatima Umar
Borno,Borno,Electrician,Not Available,On-Demand,Chinonso Nwankwo
Ekiti,Ekiti,Welder,Not Available,Advance,Chukwudi Ibe
Adamawa,Adamawa,Barber,Not Available,Advance,Ifeoma Eze
